change,address,typeofobj,location,price,date
9.9,Nordmannavägen 18C,Parhus, Saltsjö-Boo,6920000,2022-03-07
19.5,Rissneleden 163,Lägenhet, Rissne,3100000,2022-03-07
-0,Skansgatan 9A,Lägenhet, Nordstan,1050000,2022-03-07
3.2,Wäckareslingan 18,Radhus, Wäckare Äng,6450000,2022-03-07
13.6,Dalheimersgatan 6B,Lägenhet, Centrum,3350000,2022-03-07
16.4,Kryssarvägen 4,Lägenhet, Näsby Park,3930000,2022-03-07
—,Essingeringen 9,Lägenhet, Kungsholmen Stora Essingen,11350000,2022-03-07
11.3,Ormingeringen 79,Lägenhet, Västra Orminge,3000000,2022-03-07
46.9,Parmmätargatan 22,Lägenhet, Kungsholmen,2930000,2022-03-07
2.9,Kornvägen 5,Lägenhet, Hallunda,1800000,2022-03-07
10,Östhammarsgatan 69,Lägenhet, Östermalm,2525000,2022-03-07
21.4,Brinkvägen 1,Villa, Älvkarleby,965000,2022-03-07
2.9,Sommarvägen 9,Villa, Ersmark,4935000,2022-03-07
16.1,Orrvägen 10,Lägenhet, Teg,3000000,2022-03-07
4.2,Villagatan 8B,Lägenhet, Lindås,172000,2022-03-07
17.7,Västra Drottningvägen 12C,Lägenhet, Tidaholm,465000,2022-03-07
19.1,Lantmätaregatan 3A,Lägenhet, Öster,1400000,2022-03-07
13.7,Tuppa-Klaras väg 12,Villa, Adolfsberg,4775000,2022-03-07
43.8,Hamravägen 114,Tomt/Mark, Särö,5750000,2022-03-07
-4.1,Dalagatan 6,Lägenhet, Vasastan,7000000,2022-03-07
9.1,Lambergsgatan 1B,Lägenhet, Övre Eriksberg,2935000,2022-03-07
-0,Formgatan 3,Lägenhet, Limhamn,5495000,2022-03-07
0.2,Hättkvarnsgatan 5,Lägenhet, Jakobsberg,2200000,2022-03-07
8.7,Löfströms Allé 2B,Lägenhet, Centrum,6300000,2022-03-07
3,Byrumsgatan 16,Lägenhet, Visby Södercentrum,2730000,2022-03-07
6.8,Broslättsgatan 29,Lägenhet, Innerstaden,2450000,2022-03-07
-17.6,Byvägen 84,Villa, Bårsta,7000000,2022-03-07
2.6,Gröna Byn 512A,Lägenhet, Lindvallen,2000000,2022-03-07
49.2,Kvistbergsvägen 27,Villa, Klarälvdalen,970000,2022-03-07
7.1,Lagaskiftesvägen 1,Villa, Sunderbyn,3100000,2022-03-07
-12.4,Gådeåvägen 1B,Lägenhet, Centrum,460000,2022-03-07
-1.4,Slättängsgatan 4,Villa, Järnforsen,700000,2022-03-07
-8.8,Prostgränd 10,Villa, Karlslund,1960000,2022-03-07
50.3,Råsundavägen 119,Lägenhet, Gamla Råsunda,2990000,2022-03-07
—,Swedenborgsgatan 10,Lägenhet, Södermalm Maria,10000000,2022-03-06
-0,Pilgatan 26,Lägenhet, Kungsholmen,9750000,2022-03-06
—,Helsingörsgatan 44,Lägenhet, Kista,2422000,2022-03-06
—,Valhallavägen 14,Lägenhet, Östermalm,16200000,2022-03-06
-0,Lodjursstråket 1,Lägenhet, Lindholmen,5800000,2022-03-06
15.9,Lilla Varvsgatan 35A,Lägenhet, Västra Hamnen,4400000,2022-03-06
2.9,Idre Fjäll 161A,Lägenhet, Idre Fjäll,2980000,2022-03-06
1.8,Flemings väg 9D,Lägenhet, Malmbryggshage,2900000,2022-03-06
5.7,Bunkebergsgatan 7,Lägenhet, Östra Göteborg,3900000,2022-03-06
10.6,Åsgärdsgatan 162,Lägenhet, Mönsterås,1100000,2022-03-06
15.3,Trubadurvägen 1,Lägenhet, Västra Skogen,3800000,2022-03-06
9.1,Vikingavägen 71B,Lägenhet, Granlo,600000,2022-03-06
14.3,Forskningsringen 84,Lägenhet, Ursvik,2280000,2022-03-06
8,Nobelvägen 109A,Lägenhet, Sorgenfri,1830000,2022-03-06
10.8,Odensvivägen 5B,Lägenhet, Nyckelberget,720000,2022-03-06
15.5,Garvaregatan 2B,Lägenhet, Centrum,6350000,2022-03-06
—,Sturehillsvägen 12,Lägenhet, Liljeholmskajen,8100000,2022-03-06
4,Generatorgatan 5,Lägenhet," Asea-Stan, Västerås",1300000,2022-03-06
11,Valhallavägen 14,Lägenhet, Vasastan,8100000,2022-03-06
9.4,Nävergatan 7,Kedjehus, Bomhus,2900000,2022-03-06
2.6,Toppsegelsgatan 1,Lägenhet, Majorna,2000000,2022-03-06
6.3,Dagermansgatan 5E,Lägenhet, Löten,2120000,2022-03-06
10.5,Fyrverkarbacken 36,Lägenhet, Kungsholmen,10500000,2022-03-06
53.8,Basebo Sundsbro 11,Fritidshus, Hultsfred,1500000,2022-03-06
-1.6,Föreningsvägen 23,Villa, Gamla Ursvik,10575000,2022-03-06
0.5,Drottninggatan 162,Lägenhet, Norr,4010000,2022-03-06
-0,Skjutbanevägen 24,Villa, Iggesund,1100000,2022-03-06
-0,Genvägen 8,Villa, Alnö,4295000,2022-03-06
8.6,Strandvägen 7,Lägenhet, Vågmästaren,1900000,2022-03-06
6.8,Gjuterivägen 8,Lägenhet, Gjuteriet,2450000,2022-03-06
4,Tegelgatan 22,Villa, Göta,1820000,2022-03-06
14.3,Myggdalsvägen 108,Lägenhet, Bollmora,2400000,2022-03-06
4.2,Turbinvägen 5B,Lägenhet, Järla Sjö,2600000,2022-03-06
-4.5,Cedersborgsvägen 12,Lägenhet, Haga,1905000,2022-03-06
11.4,Swedenborgsgatan 30B,Lägenhet, Svartbäcken,2000000,2022-03-06
—,Bockhornsgatan 7A,Lägenhet, Västra Centrum,2700000,2022-03-06
2.6,Furustigen 14,Villa, Herrljunga,3900000,2022-03-06
20.5,Tingvägen 24,Villa, Glumslöv,3315000,2022-03-06
12.1,Gustafsvägen 6,Lägenhet, Råsunda,1900000,2022-03-06
-7,Skyttevägen 21,Villa, Norrsundet,1000000,2022-03-06
7.8,Getargatan 37,Villa, Bergsbyn,4200000,2022-03-06
14.4,Copperhillvägen 10A,Lägenhet, Björnen,4520000,2022-03-06
14.6,Hällingsjöbacken 32,Villa, Hällingsjö,6300000,2022-03-06
13.7,Industrigatan 25,Lägenhet, Hagalund,1245000,2022-03-06
-2.1,Otto Bondes väg 18,Radhus, Margretelund,2300000,2022-03-06
17,Sjödalsbacken 5,Lägenhet, Centralt,2100000,2022-03-06
0.1,Spårvagnsgatan 9,Radhus, Miatorp,3500000,2022-03-06
4.7,Gillbergavägen 48E,Lägenhet, Västermalm,1775000,2022-03-06
-4.3,Åsavägen 6,Villa, Åsaområdet,4400000,2022-03-06
-0,Svarvarvägen 11,Villa, Åker,4250000,2022-03-06
20.8,Olof Af Acrels väg 2,Lägenhet, Karolinska,3015000,2022-03-06
13.5,Honnörsgatan 27,Lägenhet, Järvastaden,5100000,2022-03-06
7,Grafiska vägen 4A,Lägenhet, Södra Centrum,2300000,2022-03-06
15,Herrgårdsgatan 10,Lägenhet, Tingvallastaden,3100000,2022-03-06
11.1,Jägersrovägen 13C,Lägenhet, Västra Kattarp,1550000,2022-03-06
-4.9,Folketshusvägen 17,Lägenhet, Klagshamn,3800000,2022-03-06
-0,Vengatan 1B,Lägenhet, Väster,1195000,2022-03-06
-0,Orgelgatan 16,Lägenhet, Kapellgärdet,1495000,2022-03-06
-8.2,Kärragårdsvägen 135,Villa, Ystad,1800000,2022-03-06
6.2,Norra Infartsgatan 55A,Lägenhet, Väster,1375000,2022-03-06
0.8,Båtbyggargatan 62,Lägenhet, Hammarby Sjöstad,7050000,2022-03-06
-0,Tosterövägen 15,Lägenhet, Älvsjö,2450000,2022-03-06
10.1,Oxhagsvägen 2C,Lägenhet, Oxhagen,1200000,2022-03-06
-7.1,Solgatan 8,Lägenhet, Rudviken/ C,4925000,2022-03-06
—,Svängrumsgatan,Lägenhet, Flatås,3400000,2022-03-06
7.7,Nedre Långvinkelsgatan 29A,Lägenhet, Centrum,3550000,2022-03-06
—,Kristinavägen 3B,Villa, Glömsta,12400000,2022-03-06
3.4,Kläppavägen 150,Villa, Åsa,6100000,2022-03-06
12.6,Västertorpsvägen 164,Lägenhet, Västertorp,4500000,2022-03-06
12.8,Kungssätravägen 14,Lägenhet, Sätra,2250000,2022-03-06
15.9,Thorilds gränd 12,Villa, Centrum,8000000,2022-03-06
—,Lindstigen 5,Lägenhet, Bromma,2900000,2022-03-05
-0,Vintervägen 109,Lägenhet, Bollstanäs,3300000,2022-03-05
—,Fleminggatan 111,Lägenhet, Kungsholmen,4500000,2022-03-05
14,Silverdalsvägen 29,Lägenhet, Silverdal,6500000,2022-03-05
13.5,Knalleborgsvägen 3A,Radhus, Ekerö Knalleborg,6100000,2022-03-05
10.8,Lillgårdsvägen 10,Lägenhet, Tungelsta,2100000,2022-03-05
0.2,Borgarfjordsgatan 21A,Lägenhet, Kista,3300000,2022-03-05
4.3,Staniastigen 2B,Lägenhet, Staffanstorp,1200000,2022-03-05
-0,Bruksparken 3,Lägenhet, Hököpinge,1050000,2022-03-05
8.7,Valdemars väg 102,Radhus, Linero,3800000,2022-03-05
—,Lidnersgatan 10A,Lägenhet, Kristineberg,3150000,2022-03-05
65.3,Hallingaliden 20A,Villa, Örkelljunga,405000,2022-03-05
—,Upplandsgatan 60,Lägenhet, Vasastan,7050000,2022-03-05
16.5,Karlsgatan 9D,Lägenhet, Centrum,1625000,2022-03-05
22.8,Frejgatan 6A,Lägenhet, Vasastan,6750000,2022-03-05
27.5,Hagstensgatan 10E,Radhus, Norrängen,2550000,2022-03-05
—,Artillerigatan 57,Lägenhet, Östermalm,8600000,2022-03-05
20.8,Skansgatan 7,Lägenhet, Slussen,3860000,2022-03-05
13.3,Tornfalksgatan 8A,Lägenhet, Söderkulla,1580000,2022-03-05
10.7,Gråskärsgatan 19,Radhus, Önnered,6200000,2022-03-05
—,Kråketegen 25,Villa," Torslanda-Lilleby, Torslanda",8000000,2022-03-05
15.9,Signe Tillischgatan 11,Lägenhet, Frösunda,8515000,2022-03-05
19.8,Kocksgatan 11,Lägenhet, Södermalm,9580000,2022-03-05
36.9,Kungsgårdsvägen 16C,Lägenhet, Skälby,1225000,2022-03-05
6.3,Östra Stallmästaregatan 3B,Lägenhet, Slottsstaden,1695000,2022-03-05
19.7,Branteviksgatan 8D,Lägenhet, Östra Sorgenfri,1550000,2022-03-05
-0,Kavaljersgatan 8,Lägenhet, Hisings Backa,1450000,2022-03-05
52.5,Fröjdegårdsvägen 58,Parhus, Furuhäll,2280000,2022-03-05
19.5,Kransbindarvägen 20,Lägenhet, Hägersten,3100000,2022-03-05
92.3,Fredenlundsvägen,Fritidshus, Backa -Fridhem,250000,2022-03-05
2.7,Älvvägen 9,Villa, Ekerö Sommarstad,8500000,2022-03-05
-6.6,Breda gatan 40,Lägenhet, Öster,1200000,2022-03-05
13.4,Alva Myrdals gata 4,Lägenhet, Fruängen,2490000,2022-03-05
67.3,Älvtorpsvägen 7,Villa, Färila,920000,2022-03-05
19.4,Klensmedsvägen 1,Lägenhet, Telefonplan,2860000,2022-03-05
13.3,Skogsrovägen 3,Lägenhet, Rönninge,2260000,2022-03-05
-10.7,Planetvägen 3,Villa, Lombolo,2500000,2022-03-05
9.7,Uppegårdsvägen 78,Lägenhet, Stenungsund - Tätort,1860000,2022-03-05
10.2,Ringgatan 41E,Lägenhet, Luthagen,3500000,2022-03-05
8.2,Vindelgatan 33B,Lägenhet, Byttorp,2050000,2022-03-05
4.6,Hagagatan 44D,Lägenhet, Haga,1250000,2022-03-05
17.3,Lundagatan 36D,Lägenhet, Södermalm,4100000,2022-03-05
5.4,Kungsbro Strand 17,Lägenhet, Kungsholmen,3900000,2022-03-05
14.2,Elsarostigen 4,Lägenhet, Brunnsäng,2050000,2022-03-05
10.5,Sankt Johannesgatan 3F,Lägenhet, Triangeln,5300000,2022-03-05
34.1,Ekängsgatan 15,Lägenhet, Sjöbo,1200000,2022-03-05
0.3,Mogatan 16,Lägenhet, Östermalm,1800000,2022-03-05
9,Anders Zornsgatan 23D,Lägenhet, Örgryte,3215000,2022-03-05
28.1,Oxenstiernas Allé 13,Lägenhet, Ursvik,2300000,2022-03-05
0.6,Gubbtäppevägen 14,Villa, Rönninge,7750000,2022-03-05
2.3,Falkmansgatan 7B,Lägenhet, Pildammarna,2450000,2022-03-05
7.5,Ringgatan 4A,Lägenhet, Luthagen,3214000,2022-03-05
25.3,Lövåsvägen 1,Kedjehus, Korsnäs,2250000,2022-03-05
4.4,Spikhammargatan 26,Lägenhet, Torpa,2350000,2022-03-05
15.4,Granitvägen 21,Lägenhet, Kolla Parkstad,3000000,2022-03-05
4.8,Ekollonvägen 105,Radhus, Almekärr,4400000,2022-03-05
27,Rattgatan 15,Villa, Mariedal,2095000,2022-03-05
11.3,Soldatvägen 24,Parhus, Storgärdet,6900000,2022-03-05
5.5,Sörmans väg 9,Villa, Lyckeby,2900000,2022-03-05
14.3,Cirkelvägen 26,Villa, Grästorp,4000000,2022-03-05
-3.4,Björkelidsvägen 6,Lägenhet, Rävlanda,1280000,2022-03-05
-6.9,Epistelvägen 7,Lägenhet, Västra Skogen,3050000,2022-03-05
25,Everöd 1317,Villa, Österlen,1500000,2022-03-05
-0,Kryssarvägen 11,Lägenhet, Näsby Park,3495000,2022-03-05
-4.2,Sädesvägen 89,Villa, Lerberget,4400000,2022-03-05
—,Högomsvägen 22,Villa, Näsbypark,18300000,2022-03-05
5.1,Araslövsvägen 9,Villa, Vinnö,1970000,2022-03-05
5.5,Lupinvägen 4,Villa, Sjuntorp,2000000,2022-03-05
14.3,Nygatan 5,Villa, Piteå,4000000,2022-03-05
4.3,Aspen 47,Fritidshus, Branäs,3650000,2022-03-05
26.3,Slottsgatan 128,Lägenhet, Norr,3125000,2022-03-05
39.5,Härstorp 1,Villa, Sjuntorp,6000000,2022-03-05
-7.6,Vagnmansgatan 26,Lägenhet, Eneborg,850000,2022-03-05
15.4,Bråvallagatan 9A,Lägenhet, Vasastan - Birkastan,5650000,2022-03-05
4.3,Hillenvägen 35,Villa, Hagaberg,5000000,2022-03-05
-12.8,Larssons gränd 29,Lägenhet, N:a Pitholm,1300000,2022-03-05
23.3,Lantgårdsvägen 98,Radhus, Viby,4500000,2022-03-05
7.6,Årstaskogs väg 7A,Lägenhet, Liljeholmskajen,4195000,2022-03-05
7.4,Östermalmsvägen 24,Villa, Östermalmsområdet,9125000,2022-03-05
9.3,Kista Alléväg 33,Lägenhet, Kista,3275000,2022-03-05
-6.5,Sjöbågen 6A,Lägenhet, Välle Broar,1450000,2022-03-05
-4.3,Sadelvägen 82A,Lägenhet, Åre Sadeln,7800000,2022-03-05
17.1,Hökens gata 1,Lägenhet, Södermalm,5145000,2022-03-05
8.3,Kanngjutargränd 28,Lägenhet, Vällingby,2160000,2022-03-05
2.4,Pyrolavägen 35,Lägenhet, Skärsätra,2150000,2022-03-05
10.3,Ektorpsvägen 11A,Lägenhet, Ektorp,2200000,2022-03-05
-0,Furulundsgatan 55,Villa, Furulund,4400000,2022-03-05
3.6,Sveagatan 65A,Lägenhet, Centrum-Norrtälje,1450000,2022-03-05
87.1,Metbäcken 186,Villa, Östmark,1300000,2022-03-05
6,Väderbodarna 2,Lägenhet, Biskopsgården,1325000,2022-03-05
8,Evenemangsgatan 40,Lägenhet, Arenastaden,4530000,2022-03-05
-1.2,Starrgatan 3,Lägenhet, Liljeholmen,1280000,2022-03-05
-0,Tranbärsstigen 32D,Villa, Finninge,2550000,2022-03-05
22,Terapivägen 14C,Lägenhet, Flemingsberg,1580000,2022-03-05
-0,Ekvägen 2,Villa, Fristad,3800000,2022-03-05
5.9,Kapplandsgatan 84A,Lägenhet, Högsbo,2430000,2022-03-05
13.8,Karlagatan 9,Villa, Västeräng,3750000,2022-03-05
-4.3,Edövägen 12B,Lägenhet, Västra Orminge,2100000,2022-03-05
18,Oxelgatan 31,Lägenhet, Ekhagen,2000000,2022-03-05
—,Ljusarydsvägen 178-16,Gård, Olofström,6000000,2022-03-05
-3.1,Ormvråksvägen 15,Lägenhet, Falkagård,770000,2022-03-05
-8.6,Finspångsvägen 240,Villa, Svärtinge,4250000,2022-03-05
1.2,Ragnvallagatan 36C,Lägenhet, Adolfsberg,1260000,2022-03-05
-0,Bures gata 27,Lägenhet, Hyllie,1495000,2022-03-05
-5.3,Sockengatan 28B,Lägenhet, Rosengården,1700000,2022-03-05
-0,Römossevägen 13,Lägenhet, Tullinge,2150000,2022-03-05
15.4,Bidevindsgatan 64A,Radhus, Andersberg,2250000,2022-03-05
5.4,Decenniumgatan 64,Radhus, Östra Göteborg,4000000,2022-03-05
1.2,Svarvstensvägen 18,Kedjehus, Hisings,3940000,2022-03-05
5.2,Musikvägen 28,Lägenhet, Ruddalen,2410000,2022-03-05
-2.6,Vattenledningsvägen 53,Lägenhet, Studiolägenhet,3500000,2022-03-05
-9.4,Göteborgsvägen 95C,Lägenhet, Surte,1250000,2022-03-05
16.5,Mjölners gata 2,Villa, Hörby,3955000,2022-03-05
-5.4,Jupitervägen 4,Lägenhet, Stenkulla,615000,2022-03-05
-8.9,Tegnérvägen 11B,Villa, Villastaden,9110000,2022-03-05
-12,Bergsgatan 13,Villa, Nossebro,1100000,2022-03-05
10.7,Munkhättegatan 34C,Lägenhet, Söderkulla,1655000,2022-03-05
32.3,Risemöllavägen 26-29,Tomt/Mark, Svedala,3300000,2022-03-05
4.8,Bragevägen 33,Villa, Norra Lännersta,11000000,2022-03-05
13.7,Daltorpsgatan 47B,Lägenhet, Örgryte,3400000,2022-03-05
—,Skräppavägen 12,Villa, Huddinge,3709000,2022-03-05
—,Vildgåsvägen 8,Lägenhet, Väster,3900000,2022-03-04
—,Lugnets Allé 27,Lägenhet, Hammarby Sjöstad,9000000,2022-03-04
—,Engelbrektsvägen 20,Lägenhet, Järfälla,2400000,2022-03-04
-0,Stuga 47I,Fritidshus, Kiholms Koloniområde,610000,2022-03-04
—,Barytongatan 1,Lägenhet, Västra Göteborg,3100000,2022-03-04
—,Armégatan 25,Lägenhet, Västra Skogen,4725000,2022-03-04
—,Tranebergsvägen 9,Lägenhet, Bromma,3600000,2022-03-04
-0,Torsplan 10,Lägenhet, Hagastaden,15600000,2022-03-04
—,Torsplan 10,Lägenhet, Vasastan,15600000,2022-03-04
—,Torsplan 10,Lägenhet, Vasastan,15600000,2022-03-04
—,Torsplan 10,Lägenhet, Vasastan,15600000,2022-03-04
—,Bjursätragatan 6,Lägenhet, Rågsved Högdalen Hagsätra,1720000,2022-03-04
-0,Ribbings väg 16A,Lägenhet, Edsängen,2350000,2022-03-04
-0,Pilvägen 38,Lägenhet, Helenelund,3300000,2022-03-04
—,Tvillingarnas gata 319,Lägenhet, Brandbergen,1430000,2022-03-04
—,Aprilgatan 12B,Lägenhet, Midsommarkransen,5700000,2022-03-04
-0,Sankt Clemens gata 38,Lägenhet, Slottshöjden,4020000,2022-03-04
—,Övre Hallegatan 42,Lägenhet, Hisingen,1800000,2022-03-04
5,Närlundavägen 10,Lägenhet, Närlunda,2100000,2022-03-04
-0,Sjöviksbacken 22,Lägenhet, Liljeholmskajen,3125000,2022-03-04
9.8,Åbroddgatan 7,Lägenhet, Sörbyängen,2250000,2022-03-04
10,Arvesgärde 3,Lägenhet, Tuve,2200000,2022-03-04
12,Hermodvägen 10,Villa, Djursholm,14500000,2022-03-04
—,Häradsgränd 6,Lägenhet, Täby Centrum,3200000,2022-03-04
22.5,Finngrundsvägen 5,Lägenhet, Blåsut,3670000,2022-03-04
13.5,Övre Buråsliden 9B,Lägenhet, Johanneberg,2825000,2022-03-04
-0,Hemsjö Dalenvägen,Tomt/Mark, Hemsjö,1300000,2022-03-04
-0,Solarvsplan 2,Lägenhet, Askim,3075000,2022-03-04
8.8,Bryggaregatan 11A,Lägenhet, Väster,1300000,2022-03-04
—,Bygatan 25,Lägenhet, Gamla Huvudsta,7250000,2022-03-04
12,Sunnanvindsgatan 14G,Lägenhet, Nya Kungsgården,1450000,2022-03-04
11.4,Rektorsgatan 10B,Lägenhet, Slottshöjden,1950000,2022-03-04
25.6,Tvingvägen 28,Lägenhet, Telefonplan,2255000,2022-03-04
14.7,Volontärsgatan 10C,Lägenhet, Västra Berga,1600000,2022-03-04
12.2,Kungsvägen 101,Lägenhet, Timrå-Örnen,780000,2022-03-04
13.3,Västra Rönneholmsvägen 55B,Lägenhet, Fågelbacken,2600000,2022-03-04
—,Axel Wennergrens väg 22,Lägenhet, Bollmora,2400000,2022-03-04
15.4,Märsgränd 19,Lägenhet, Västra Hamnen,3225000,2022-03-04
13.3,Frans Malmrosgatan 39B,Lägenhet, Granlunda,1700000,2022-03-04
7.6,Roslins väg 14C,Lägenhet, Ribersborg,4300000,2022-03-04
9.6,Vasagatan 15A,Lägenhet, Centrum,4050000,2022-03-04
17.8,Oxenstiernas Allé 19,Lägenhet, Ursvik,2350000,2022-03-04
-0,Fritiof Anderssons gata 9,Lägenhet, Eriksberg,4850000,2022-03-04
—,Fräntorpsgatan 80,Lägenhet, Fräntorp,3850000,2022-03-04
10.2,Stubbvägen 2,Villa, Korpadalen,2700000,2022-03-04
-0.8,Planteringsvägen 56,Villa, Planteringen,5900000,2022-03-04
24.3,Garvar Lundins gränd 8,Lägenhet, Kungsholmen,12425000,2022-03-04
2.3,Djurängsvägen 43B,Lägenhet, Djurängen,1120000,2022-03-04
3.7,Astrakangatan 2,Lägenhet, Hässelby,1550000,2022-03-04
11.4,Guldvägen 5,Villa, Löddeköpinge,5900000,2022-03-04
9.6,Enegatan 31,Villa, Smålandsstenar,2000000,2022-03-04
6.5,Silverdalsvägen 37,Lägenhet, Silverdal,4100000,2022-03-04
39.4,Fleminggatan 81,Lägenhet, Kungsholmen,3060000,2022-03-04
—,Korpabergsvägen 39,Parhus, Klinten,3500000,2022-03-04
27.9,Polstjärnegatan 35,Lägenhet, Vetterstorp,1400000,2022-03-04
19.3,Vapengatan 12,Lägenhet, Aspudden,4475000,2022-03-04
6.1,Fabriksgatan 18,Lägenhet, Centrum,4449000,2022-03-04
16.2,Ormingeringen 76,Lägenhet, Orminge,1970000,2022-03-04
15.2,Regeringsgatan 76,Lägenhet, Norrmalm,8580000,2022-03-04
7.3,Lavettvägen 34,Lägenhet, Rissne,3000000,2022-03-04
27.9,Bjulevägen 61,Lägenhet, Enskede Stureby,2750000,2022-03-04
10.8,Myntgatan 3E,Lägenhet, Moröhöjden,2100000,2022-03-04
11.1,Sörlyckan 32,Radhus, Sävedalen,6100000,2022-03-04
—,Träringen 73,Lägenhet, Björkekärr,2650000,2022-03-04
16.3,Bohusgatan 27A,Lägenhet, Södermalm,3600000,2022-03-04
29.2,Skeppargatan 25C,Lägenhet, Östermalm,11500000,2022-03-04
32.8,Edövägen 12A,Lägenhet, Orminge,1660000,2022-03-04
43.2,Blidvägen 73,Lägenhet, Björkskatan,1425000,2022-03-04
4.5,Grankvistgatan 8,Lägenhet, Kronskogen,1875000,2022-03-04
31.5,Storgatan 72A,Lägenhet, Huvudsta,3150000,2022-03-04
32.2,Årstavägen 95,Lägenhet, Årsta,3800000,2022-03-04
17.8,Vänortsgatan 10B,Lägenhet, Bosgården,2350000,2022-03-04
21.5,Hästhoven 54,Lägenhet, Rönnäng,2060000,2022-03-04
3.2,Tvärvägen 5,Lägenhet, Centrum,1910000,2022-03-04
14.7,Sockengatan 34B,Lägenhet, Rosengården,1600000,2022-03-04
10.5,Stora gatan 1B,Lägenhet, Östermalm,3200000,2022-03-04
12.6,Olivedalsgatan 2,Lägenhet, Linnéstaden,6300000,2022-03-04
10.3,Breda gatan 16C,Lägenhet, Öster-Hudiksvall,2200000,2022-03-04
4.4,Ällmoravägen 18,Fritidshus, Brevik,2500000,2022-03-04
13.7,Byggmästarvägen 9,Lägenhet, Abrahamsberg,2950000,2022-03-04
11.5,Småbrukets Backe 10,Lägenhet, Visättra,2225000,2022-03-04
9.7,Dalbovägen 9B,Lägenhet, Hov,1700000,2022-03-04
23.7,Larsbodavägen 36,Lägenhet, Farsta,2220000,2022-03-04
11.1,Fågelgatan 2,Lägenhet, Sjöbo,1000000,2022-03-04
19.1,Nybodagatan 3,Lägenhet, Skytteholm,4520000,2022-03-04
3.8,Husargatan 4,Lägenhet, Drottningtorget,3110000,2022-03-04
47,Enskiftesgatan 48,Lägenhet, Skurup,1610000,2022-03-04
-0,Timmermansvägen,Tomt/Mark, Gråbo,2200000,2022-03-04
17.1,Spireastigen 24,Fritidshus, Landskrona,410000,2022-03-04
5.1,Utsädesgränd 23,Radhus, Vikhem,3780000,2022-03-04
42.3,Svalgatan 6,Villa, Vimmerby,3700000,2022-03-04
19.6,Bergsgatan 19D,Lägenhet, Södermalm,1310000,2022-03-04
3.7,Södra Hunnetorpsvägen 110,Lägenhet, Adolfsberg,1400000,2022-03-04
18.3,Regementsgatan 26,Lägenhet, Viksäng,1650000,2022-03-04
-0,Biskopsgatan 8B,Lägenhet, Djäkneberget,1895000,2022-03-04
17,Kalmgatan 11,Lägenhet, Hammarbyhöjden,2750000,2022-03-04
-0,Märrgårdsudden 528,Tomt/Mark, Söråker,395000,2022-03-04
43.8,Badgatan 110,Lägenhet, Grästorp,1150000,2022-03-04
—,Fyrvaktarkroken 6,Lägenhet, Blåsut,3500000,2022-03-04
27.6,Döbelnsgatan 1D,Radhus, Vikenborg,1340000,2022-03-04
45.5,Kvarnbäcksvägen 8A,Lägenhet, Mölltorp,800000,2022-03-04
3.6,Ramlösa gränd 13,Villa, Adolfsberg,4450000,2022-03-04
-0,Hallakroken 10C,Lägenhet, Trelleborg,1550000,2022-03-04
1,Ulvsättragränd 1,Lägenhet, Kallhäll,3025000,2022-03-04
78.8,Kristianstadsgatan 33,Villa, Tyringe,1600000,2022-03-04
34.9,Möregatan 10,Lägenhet, Katarina,3500000,2022-03-04
13.7,Linnévägen 23A,Lägenhet, Lustigknopp,1700000,2022-03-04
14.2,Cellovägen 138,Lägenhet, Gottsunda,2050000,2022-03-04
22.9,Tvillinggatan 3A,Lägenhet, Jungfruplatsen,2575000,2022-03-04
6.6,Skönhamnsvägen 33,Villa, Sundsbruk,2825000,2022-03-04
14.9,Tranebergsvägen 26,Lägenhet, Bromma Traneberg,4360000,2022-03-04
12.2,Dragverksgatan 19,Lägenhet, Bäckby,1515000,2022-03-04
-2.3,Kävlingevägen 11,Villa, Annelöv,1950000,2022-03-04
91.1,Vårlundavägen 17A,Parhus, Tidan,860000,2022-03-04
1.4,Abborregatan 3,Villa, Stensö,9100000,2022-03-04
9.1,Övad 7806,Villa, Klippan,1800000,2022-03-04
20.4,Hampgatan 11,Villa, Brämhult,3600000,2022-03-04
8.4,Olov Trätäljagatan 8,Villa, Villan,2575000,2022-03-04
20.9,Ellen Keys gata 24,Lägenhet, Fruängen,2170000,2022-03-04
2.8,Rektorsgatan 3,Lägenhet, Slottshöjden,2050000,2022-03-04
14,Agnes Lagerstedts gata 25,Lägenhet, Fruängen,3300000,2022-03-04
26.6,Allmogevägen 20,Lägenhet, Jakobsberg,2400000,2022-03-04
9.7,Hjortmossegatan 94,Lägenhet, Hjortmossen,1750000,2022-03-04
18.3,Mandolingatan 9,Lägenhet, Ruddalen,2810000,2022-03-04
15.6,Hagstensgatan 10D,Radhus, Huskvarna Norrängen,2600000,2022-03-04
-0,Norra Unnaryd 53,Villa, Jönköping,895000,2022-03-04
9.8,Triangelvägen 3D,Radhus, Triangeln,2250000,2022-03-04
19.2,Linnéplan 3B,Lägenhet, Lustigknopp,2020000,2022-03-04
21.5,Storgatan 57A,Lägenhet, Nässjö,1185000,2022-03-04
2.9,Framtidsvägen 4,Kedjehus, Gunsta,4110000,2022-03-04
3.1,Kämpagränden 19B,Lägenhet, Linero,1850000,2022-03-04
28,Sadelvägen 8,Villa, Sätra,3450000,2022-03-04
-0,Stybbvägen 4A,Lägenhet, Skutskär,495000,2022-03-04
4.2,Kragstalundsvägen 158,Kedjehus, Kragstalund,2600000,2022-03-04
